Subjects,Subjects-href
English Literature,https://www.bbc.com/education/subjects/zckw2hv
Religious Studies,https://www.bbc.com/education/subjects/zb48q6f
Food Technology,https://www.bbc.com/education/subjects/z48jmp3
Resistant Materials,https://www.bbc.com/education/subjects/zg9d7ty
Music,https://www.bbc.com/education/subjects/zpf3cdm
Science,https://www.bbc.com/education/subjects/zrkw2hv
Architecture,https://www.bbc.com/education/subjects/zqxvr82
Art and Design,https://www.bbc.com/education/subjects/z6hs34j
Irish – Learners (CCEA),https://www.bbc.com/education/subjects/zqtw7ty
French,https://www.bbc.com/education/subjects/z9dqxnb
PSHE and Citizenship,https://www.bbc.com/education/subjects/z3ckjxs
Digital Technology (CCEA),https://www.bbc.com/education/subjects/z9qy6yc
Media Studies,https://www.bbc.com/education/subjects/ztnygk7
Maths,https://www.bbc.com/education/subjects/z826n39
Textiles,https://www.bbc.com/education/subjects/zkj2tfr
Engineering,https://www.bbc.com/education/subjects/zmhg9j6
Physics (Single Science),https://www.bbc.com/education/subjects/zpm6fg8
German,https://www.bbc.com/education/subjects/z8j2tfr
Business,https://www.bbc.com/education/subjects/zpsvr82
Mandarin,https://www.bbc.com/education/subjects/zkrqxnb
Computer Science,https://www.bbc.com/education/subjects/z34k7ty
Learning for Life and Work (CCEA),https://www.bbc.com/education/subjects/zq9xdxs
English,https://www.bbc.com/education/subjects/zv48q6f
Design and Technology,https://www.bbc.com/education/subjects/zvg4d2p
Welsh Second Language (WJEC),https://www.bbc.com/education/subjects/z8qmhyc
Product Design,https://www.bbc.com/education/subjects/zybc87h
Modern Foreign Languages,https://www.bbc.com/education/subjects/zhsvr82
Graphics,https://www.bbc.com/education/subjects/zdqmhyc
Combined Science,https://www.bbc.com/education/subjects/zp266yc
Geography,https://www.bbc.com/education/subjects/zkw76sg
Maths,https://www.bbc.com/education/subjects/z38pycw
Electronics,https://www.bbc.com/education/subjects/zg48q6f
Science,https://www.bbc.com/education/subjects/z2pfb9q
ICT,https://www.bbc.com/education/subjects/zqmtsbk
English Language,https://www.bbc.com/education/subjects/zr9d7ty
History,https://www.bbc.com/education/subjects/zj26n39
Chemistry (Single Science),https://www.bbc.com/education/subjects/zs6hvcw
Spanish,https://www.bbc.com/education/subjects/z4dqxnb
Sociology,https://www.bbc.com/education/subjects/zbbw2hv
Maths Numeracy (WJEC),https://www.bbc.com/education/subjects/zc8tfrd
Moving Image Arts (CCEA),https://www.bbc.com/education/subjects/z9c6y4j
Biology (Single Science),https://www.bbc.com/education/subjects/z9ddmp3
Drama,https://www.bbc.com/education/subjects/zbckjxs
Journalism (CCEA),https://www.bbc.com/education/subjects/zqyqh39
History,https://www.bbc.com/education/subjects/zcw76sg
Physical Education,https://www.bbc.com/education/subjects/znyb4wx
Systems and Control,https://www.bbc.com/education/subjects/z9w76sg
